,periodo,viajeros_espana,viajeros_extranjero,pernoctaciones_espana,pernoctaciones_extranjero,media_pernoc_esp,media_pernoc_ext,total_viajeros,total_pernoctaciones,media_total_pernoc,primary_key
55,2017-07,137560,634306,261185,1803145,1.9,2.8,771866,2064330,2.7,55
54,2017-08,92632,601050,194356,1807172,2.1,3.0,693682,2001528,2.9,54
53,2017-09,116521,568131,216184,1550853,1.9,2.7,684652,1767037,2.6,53
52,2017-10,125400,531660,238121,1434376,1.9,2.7,657060,1672497,2.5,52
51,2017-11,140384,391985,244155,1022604,1.7,2.6,532369,1266759,2.4,51
50,2017-12,134969,355668,246374,915630,1.8,2.6,490637,1162004,2.4,50
49,2018-01,126214,381104,223612,1021802,1.8,2.7,507318,1245414,2.5,49
48,2018-02,128399,407563,221439,1093495,1.7,2.7,535962,1314934,2.5,48
47,2018-03,131111,519935,240784,1358987,1.8,2.6,651046,1599771,2.5,47
46,2018-04,138719,562598,253149,1488226,1.8,2.6,701317,1741375,2.5,46
45,2018-05,120594,609310,219176,1612444,1.8,2.6,729904,1831620,2.5,45
44,2018-06,133682,621169,244639,1592435,1.8,2.6,754851,1837074,2.4,44
43,2018-07,123818,652796,232507,1784940,1.9,2.7,776614,2017447,2.6,43
42,2018-08,91971,652388,178079,1896225,1.9,2.9,744359,2074304,2.8,42
41,2018-09,105374,605464,189852,1621891,1.8,2.7,710838,1811743,2.5,41
40,2018-10,124314,617540,217475,1603997,1.7,2.6,741854,1821472,2.5,40
39,2018-11,135678,493617,231008,1289158,1.7,2.6,629295,1520166,2.4,39
38,2018-12,132536,428550,241075,1145142,1.8,2.7,561086,1386217,2.5,38
37,2019-01,126475,428750,214198,1164575,1.7,2.7,555225,1378773,2.5,37
36,2019-02,126931,457317,214070,1211981,1.7,2.7,584248,1426051,2.4,36
35,2019-03,136002,564164,239373,1511088,1.8,2.7,700166,1750461,2.5,35
34,2019-04,119895,642915,209052,1705782,1.7,2.7,762810,1914834,2.5,34
33,2019-05,122128,664812,208236,1729820,1.7,2.6,786940,1938056,2.5,33
32,2019-06,122589,656861,210964,1728926,1.7,2.6,779450,1939890,2.5,32
31,2019-07,119663,703145,224202,1926460,1.9,2.7,822808,2150662,2.6,31
30,2019-08,87713,689235,174386,2013312,2.0,2.9,776948,2187698,2.8,30
29,2019-09,100159,628567,177199,1667597,1.8,2.7,728726,1844796,2.5,29
28,2019-10,116403,661177,206794,1670879,1.8,2.5,777580,1877673,2.4,28
27,2019-11,131817,525420,227102,1328198,1.7,2.5,657237,1555300,2.4,27
26,2019-12,134669,453609,230372,1166825,1.7,2.6,588278,1397197,2.4,26
25,2020-01,123853,459355,203220,1215293,1.6,2.6,583208,1418513,2.4,25
24,2020-02,129590,453608,217404,1142992,1.7,2.5,583198,1360396,2.3,24
23,2020-03,56054,168314,101112,456949,1.8,2.7,224368,558061,2.5,23
22,2020-04,0,0,0,0,nan,nan,0,0,nan,22
21,2020-05,0,0,0,0,nan,nan,0,0,nan,21
20,2020-06,0,0,0,0,nan,nan,0,0,nan,20
19,2020-07,35238,65129,68214,167070,1.9,2.6,100367,235284,2.3,19
18,2020-08,35260,67299,65207,163049,1.8,2.4,102559,228256,2.2,18
17,2020-09,45474,42397,77362,97273,1.7,2.3,87871,174635,2.0,17
16,2020-10,41402,34510,74309,77994,1.8,2.3,75912,152303,2.0,16
15,2020-11,35899,16385,57784,34744,1.6,2.1,52284,92528,1.8,15
14,2020-12,52677,26262,79668,54362,1.5,2.1,78939,134030,1.7,14
13,2021-01,42324,22102,75385,49018,1.8,2.2,64426,124403,1.9,13
12,2021-02,55121,22724,89137,51982,1.6,2.3,77845,141119,1.8,12
11,2021-03,60831,29555,100131,69101,1.6,2.3,90386,169232,1.9,11
10,2021-04,56778,39445,102664,100043,1.8,2.5,96223,202707,2.1,10
9,2021-05,72436,83113,130658,213444,1.8,2.6,155549,344102,2.2,9
8,2021-06,86247,136256,174740,357555,2.0,2.6,222503,532295,2.4,8
7,2021-07,102548,244570,222418,731549,2.2,3.0,347118,953967,2.7,7
6,2021-08,95171,346857,215716,1053615,2.3,3.0,442028,1269331,2.9,6
5,2021-09,102053,309572,207329,856562,2.0,2.8,411625,1063891,2.6,5
4,2021-10,130404,364349,270494,1013514,2.1,2.8,494753,1284008,2.6,4
3,2021-11,120748,314677,228675,871021,1.9,2.8,435425,1099696,2.5,3
2,2021-12,144299,250133,282398,674630,2.0,2.7,394432,957028,2.4,2
1,2022-01,107162,194312,203683,541541,1.9,2.8,301474,745224,2.5,1
